year,stateabbr,locationname,category,measure,data_value,data_value_unit
2023,AR,Drew,Health Outcomes,Arthritis among adults,29.9,%
2023,AR,Fulton,Health Outcomes,Current asthma among adults,10.6,%
2023,AR,Howard,Health Outcomes,Arthritis among adults,31.2,%
2023,AR,Miller,Health Outcomes,Stroke among adults,4.7,%
2023,AR,Ouachita,Disability,Any disability among adults,42.8,%
2023,AR,Pulaski,Health Outcomes,Stroke among adults,3.9,%
2023,AR,Van Buren,Health Outcomes,Stroke among adults,5.4,%
2023,CA,Marin,Disability,Any disability among adults,27.5,%
2023,CO,Dolores,Health Outcomes,Arthritis among adults,30.2,%
2023,CO,Lake,Health Outcomes,Current asthma among adults,10.2,%
2023,CO,Phillips,Health Outcomes,Arthritis among adults,29.6,%
2023,CO,Routt,Health Outcomes,Arthritis among adults,24.7,%
2023,CO,Yuma,Health Outcomes,Obesity among adults,28.4,%
2023,FL,Brevard,Health Outcomes,Diagnosed diabetes among adults,13.1,%
2023,FL,Citrus,Health Outcomes,Diagnosed diabetes among adults,15.8,%
2023,FL,Flagler,Health Outcomes,Depression among adults,18.3,%
2023,FL,Highlands,Health Outcomes,Arthritis among adults,25.1,%
2023,FL,Martin,Health Outcomes,Stroke among adults,2.7,%
2023,FL,Seminole,Health Outcomes,Depression among adults,16.4,%
2023,GA,Carroll,Disability,Hearing disability among adults,6.8,%
2023,GA,Catoosa,Health Outcomes,Obesity among adults,33.9,%
2023,GA,Clayton,Health Outcomes,Stroke among adults,4.3,%
2023,GA,Jeff Davis,Health Outcomes,Stroke among adults,4.8,%
2023,GA,Lowndes,Health Outcomes,Stroke among adults,3.8,%
2023,GA,McDuffie,Disability,Any disability among adults,36.6,%
2023,GA,Peach,Health Outcomes,Obesity among adults,39.3,%
2023,GA,Sumter,Health Outcomes,Arthritis among adults,28.3,%
2023,GA,Sumter,Health Outcomes,Stroke among adults,4.8,%
2023,GA,Turner,Health Outcomes,Arthritis among adults,27.3,%
2023,GA,Twiggs,Health Outcomes,Obesity among adults,39.7,%
2023,GA,Twiggs,Health Outcomes,Stroke among adults,4.1,%
2023,GA,Wheeler,Health Outcomes,Depression among adults,19.0,%
2023,ID,Bannock,Health Outcomes,Stroke among adults,3.1,%
2023,ID,Caribou,Disability,Hearing disability among adults,10.1,%
2023,ID,Clearwater,Health Outcomes,Stroke among adults,3.1,%
2023,ID,Owyhee,Health Outcomes,Arthritis among adults,29.9,%
2023,IL,Brown,Health Outcomes,Arthritis among adults,24.5,%
2023,IL,Bureau,Health Outcomes,Stroke among adults,4.1,%
2023,IL,Cook,Health Outcomes,Obesity among adults,31.0,%
2023,IL,Douglas,Health Outcomes,Depression among adults,22.6,%
2023,IL,Lee,Health Outcomes,Arthritis among adults,29.0,%
2023,IN,Clay,Health Outcomes,Stroke among adults,3.1,%
2023,IN,Dubois,Disability,Any disability among adults,31.1,%
2023,IN,Henry,Health Outcomes,Stroke among adults,3.9,%
2023,IN,Johnson,Health Outcomes,Arthritis among adults,26.0,%
2023,IN,LaGrange,Health Outcomes,Arthritis among adults,28.3,%
2023,IN,Marshall,Health Outcomes,Stroke among adults,3.9,%
2023,IN,Pike,Health Outcomes,Arthritis among adults,33.3,%
2023,IN,Pike,Disability,Any disability among adults,34.5,%
2023,IN,Scott,Health Outcomes,Stroke among adults,3.9,%
2023,IN,Spencer,Disability,Hearing disability among adults,8.0,%
2023,IN,Steuben,Health Outcomes,Stroke among adults,3.7,%
2023,IA,Fremont,Health Outcomes,Depression among adults,20.1,%
2023,IA,Scott,Health Outcomes,Arthritis among adults,28.8,%
2023,IA,Tama,Health Outcomes,Obesity among adults,40.2,%
2023,KS,Anderson,Health Outcomes,Arthritis among adults,30.9,%
2023,KS,Barber,Health Risk Behaviors,Binge drinking among adults,14.5,%
2023,KS,Haskell,Health Outcomes,Diagnosed diabetes among adults,13.2,%
2023,KS,Jackson,Health Outcomes,Stroke among adults,2.9,%
2023,KS,Wabaunsee,Health Outcomes,Obesity among adults,35.1,%
2023,KS,Wallace,Disability,Any disability among adults,35.3,%
2023,LA,Cameron,Disability,Hearing disability among adults,9.3,%
2023,LA,Red River,Health Outcomes,Arthritis among adults,35.0,%
2023,LA,Red River,Disability,Hearing disability among adults,10.1,%
2023,ME,Hancock,Health Outcomes,Current asthma among adults,12.1,%
2023,ME,Lincoln,Health Outcomes,Arthritis among adults,37.2,%
2023,MD,Carroll,Health Outcomes,Current asthma among adults,10.1,%
2023,MI,Antrim,Health Outcomes,Stroke among adults,2.7,%
2023,MI,Baraga,Disability,Any disability among adults,37.3,%
2023,MI,Cass,Disability,Hearing disability among adults,8.8,%
2023,MI,Gogebic,Disability,Any disability among adults,36.6,%
2023,MI,Hillsdale,Health Outcomes,Stroke among adults,4.2,%
2023,MI,Iosco,Health Outcomes,Stroke among adults,5.3,%
2023,MI,Lenawee,Health Outcomes,Arthritis among adults,29.8,%
2023,MN,Anoka,Health Outcomes,Arthritis among adults,21.7,%
2023,MN,Blue Earth,Health Outcomes,Diagnosed diabetes among adults,9.4,%
2023,MN,Grant,Health Outcomes,Obesity among adults,39.7,%
2023,MN,Jackson,Health Risk Behaviors,Binge drinking among adults,16.7,%
2023,MN,Marshall,Health Outcomes,Arthritis among adults,21.1,%
2023,NE,Cherry,Health Outcomes,Stroke among adults,4.1,%
2023,NE,Dawes,Health Outcomes,Obesity among adults,35.5,%
2023,NE,Garfield,Health Outcomes,Obesity among adults,38.8,%
2023,NE,Perkins,Health Outcomes,Obesity among adults,40.7,%
2023,NE,Thomas,Health Outcomes,Current asthma among adults,9.0,%
2023,NE,Valley,Health Outcomes,Arthritis among adults,30.5,%
2023,NE,Wayne,Health Outcomes,Obesity among adults,37.3,%
2023,NE,Webster,Health Outcomes,Depression among adults,17.6,%
2023,NV,Elko,Health Outcomes,Stroke among adults,3.3,%
2023,NV,Mineral,Health Outcomes,Obesity among adults,38.4,%
2023,NV,Nye,Health Outcomes,Depression among adults,21.0,%
2023,NV,White Pine,Disability,Any disability among adults,37.6,%
2023,NJ,Hudson,Health Outcomes,Stroke among adults,2.6,%
2023,NM,Catron,Health Outcomes,Arthritis among adults,38.8,%
2023,NM,Lincoln,Health Outcomes,Stroke among adults,4.7,%
2023,NM,Los Alamos,Health Outcomes,Depression among adults,20.5,%
2023,NM,Otero,Health Outcomes,Stroke among adults,3.9,%
2023,NM,Quay,Health Outcomes,Depression among adults,22.3,%
2023,NM,Taos,Health Outcomes,Arthritis among adults,30.5,%
2023,NY,Chemung,Health Outcomes,Stroke among adults,3.8,%
2023,NY,Chenango,Health Outcomes,Stroke among adults,4.1,%
2023,NY,Columbia,Health Outcomes,Stroke among adults,3.9,%
2023,NY,Cortland,Health Outcomes,Stroke among adults,3.1,%
2023,NY,Ontario,Health Outcomes,Diagnosed diabetes among adults,10.5,%
2023,NY,Schuyler,Health Outcomes,Stroke among adults,3.0,%
2023,NC,Alexander,Health Outcomes,Obesity among adults,36.5,%
2023,NC,Bertie,Health Outcomes,Stroke among adults,6.3,%
2023,NC,Bladen,Disability,Any disability among adults,39.1,%
2023,NC,Halifax,Health Outcomes,Obesity among adults,42.6,%
2023,NC,Henderson,Health Outcomes,Obesity among adults,30.3,%
2023,NC,Pamlico,Health Outcomes,Depression among adults,23.0,%
2023,NC,Pamlico,Health Outcomes,Obesity among adults,36.0,%
2023,NC,Pender,Health Outcomes,Depression among adults,24.8,%
2023,NC,Richmond,Health Outcomes,Obesity among adults,42.9,%
2023,ND,Adams,Health Risk Behaviors,Binge drinking among adults,16.2,%
2023,ND,Divide,Health Outcomes,Arthritis among adults,31.7,%
2023,ND,Golden Valley,Health Outcomes,Obesity among adults,37.6,%
2023,ND,Towner,Health Outcomes,Stroke among adults,3.3,%
2023,ND,Walsh,Disability,Any disability among adults,31.9,%
2023,OH,Brown,Health Outcomes,Obesity among adults,41.6,%
2023,OH,Butler,Health Outcomes,Obesity among adults,39.0,%
2023,OH,Butler,Health Outcomes,Stroke among adults,3.3,%
2023,OH,Clark,Health Outcomes,Stroke among adults,4.2,%
2023,OH,Fulton,Health Risk Behaviors,Binge drinking among adults,16.2,%
2023,OH,Highland,Health Outcomes,Obesity among adults,41.3,%
2023,OH,Holmes,Health Outcomes,Depression among adults,29.3,%
2023,OH,Jackson,Health Outcomes,Arthritis among adults,33.5,%
2023,OH,Lucas,Health Outcomes,Obesity among adults,36.1,%
2023,OH,Madison,Health Outcomes,Depression among adults,25.2,%
2023,OH,Miami,Health Outcomes,Obesity among adults,33.6,%
2023,OH,Pickaway,Health Outcomes,Stroke among adults,3.5,%
2023,OH,Putnam,Health Outcomes,Arthritis among adults,30.5,%
2023,OH,Scioto,Disability,Any disability among adults,37.9,%
2023,OH,Scioto,Health Outcomes,Obesity among adults,44.7,%
2023,OH,Union,Health Outcomes,Arthritis among adults,26.0,%
2023,OK,Beaver,Health Outcomes,Stroke among adults,4.1,%
2023,OK,Cotton,Health Outcomes,Stroke among adults,4.7,%
2023,OK,Greer,Health Outcomes,Diagnosed diabetes among adults,13.0,%
2023,OK,Kiowa,Health Outcomes,Stroke among adults,3.9,%
2023,OK,Mayes,Health Outcomes,Depression among adults,25.1,%
2023,OK,Muskogee,Health Outcomes,Stroke among adults,4.0,%
2023,OK,Oklahoma,Health Outcomes,Current asthma among adults,11.5,%
2023,OK,Oklahoma,Health Outcomes,Obesity among adults,37.9,%
2023,OK,Pontotoc,Health Outcomes,Stroke among adults,3.8,%
2023,OR,Curry,Health Outcomes,Arthritis among adults,38.9,%
2023,OR,Lake,Health Outcomes,Stroke among adults,4.7,%
2023,OR,Malheur,Health Outcomes,Depression among adults,24.8,%
2023,OR,Wallowa,Health Outcomes,Stroke among adults,4.1,%
2023,OR,Wheeler,Health Outcomes,Stroke among adults,5.6,%
2023,SC,Colleton,Health Outcomes,Obesity among adults,39.3,%
2023,SC,Pickens,Health Outcomes,Depression among adults,25.4,%
2023,SC,Pickens,Health Outcomes,Obesity among adults,35.4,%
2023,SD,Beadle,Health Outcomes,Stroke among adults,4.0,%
2023,SD,Dewey,Health Outcomes,Arthritis among adults,26.8,%
2023,SD,Jones,Health Outcomes,Stroke among adults,4.6,%
2023,SD,Sully,Health Outcomes,Depression among adults,18.8,%
2023,SD,Walworth,Disability,Any disability among adults,32.9,%
2023,TN,Davidson,Health Outcomes,Stroke among adults,2.9,%
2023,TN,DeKalb,Health Outcomes,Stroke among adults,4.5,%
2023,TN,Fentress,Health Outcomes,Depression among adults,30.4,%
2023,TN,Haywood,Health Outcomes,Stroke among adults,5.9,%
2023,TN,Sullivan,Health Outcomes,Stroke among adults,3.2,%
2023,TN,Union,Health Outcomes,Diagnosed diabetes among adults,14.6,%
2023,TX,Bell,Health Outcomes,Stroke among adults,3.2,%
2023,TX,Caldwell,Disability,Hearing disability among adults,7.5,%
2023,TX,Colorado,Health Outcomes,Depression among adults,21.1,%
2023,TX,Gray,Health Outcomes,High blood pressure among adults,37.6,%
2023,TX,Hansford,Health Outcomes,Stroke among adults,3.2,%
2023,TX,Hockley,Health Outcomes,Stroke among adults,3.6,%
2023,TX,Irion,Disability,Vision disability among adults,5.3,%
2023,TX,Jack,Disability,Vision disability among adults,6.4,%
2023,TX,King,Health Outcomes,Stroke among adults,5.3,%
2023,TX,Menard,Health Outcomes,Stroke among adults,3.2,%
2023,TX,Mills,Health Outcomes,Obesity among adults,33.0,%
2023,TX,Moore,Health Outcomes,Obesity among adults,39.0,%
2023,TX,Palo Pinto,Health Outcomes,Depression among adults,24.0,%
2023,TX,Panola,Health Outcomes,Stroke among adults,4.2,%
2023,TX,Polk,Health Outcomes,Arthritis among adults,29.4,%
2023,TX,Rains,Health Risk Behaviors,Binge drinking among adults,15.8,%
2023,UT,Carbon,Health Outcomes,Arthritis among adults,30.3,%
2023,UT,Emery,Disability,Mobility disability among adults,14.0,%
2023,UT,Salt Lake,Health Outcomes,Arthritis among adults,21.2,%
2023,UT,Sevier,Health Outcomes,Arthritis among adults,28.1,%
2023,UT,Utah,Disability,Self-care disability among adults,2.3,%
2023,UT,Wayne,Health Outcomes,Depression among adults,27.3,%
2023,UT,Weber,Health Outcomes,Obesity among adults,34.7,%
2023,UT,Weber,Health Outcomes,Stroke among adults,2.6,%
2023,VA,Amherst,Health Outcomes,Diagnosed diabetes among adults,15.1,%
2023,VA,Augusta,Health Outcomes,Diagnosed diabetes among adults,13.2,%
2023,VA,Louisa,Health Outcomes,Depression among adults,23.0,%
2023,VA,Mecklenburg,Disability,Any disability among adults,38.1,%
2023,VA,Nelson,Health Outcomes,Stroke among adults,3.0,%
2023,VA,Northampton,Health Outcomes,Stroke among adults,5.4,%
2023,VA,Sussex,Health Outcomes,Obesity among adults,45.5,%
2023,VA,Radford,Disability,Hearing disability among adults,5.7,%
2023,VA,Richmond,Health Outcomes,Stroke among adults,3.5,%
2023,VA,Salem,Health Outcomes,Arthritis among adults,29.1,%
2023,VA,Staunton,Health Outcomes,Stroke among adults,3.0,%
2023,WA,Island,Health Outcomes,Stroke among adults,3.5,%
2023,WV,Lewis,Health Outcomes,Stroke among adults,4.4,%
