tweet_id,tweet_created,airline,retweet_count,text
567595670463205376,2015-02-17 00:05:27 -0800,United,0,@united I like delays less than you because I'm the one on the plane. Connect me with a voucher
567663504102940672,2015-02-17 04:35:00 -0800,Southwest,0,@SouthwestAir We have been stuck in SJU for several hours and no one is answering here. Really tough to LUV SW. No response is bad.
567703258425081857,2015-02-17 07:12:58 -0800,United,0,.@united call my work and tell them it's your fault I'm Late Flight
567710245053407232,2015-02-17 07:40:44 -0800,US Airways,0,@USAirways I have been on hold with your Gold reservations line for OVER 3 HOURS now. Flight Cancelled Flightled. Trying to rebook.
567721764285726720,2015-02-17 08:26:31 -0800,Southwest,0,@SouthwestAir Can you link the article where it says the routes and what times the routes are likely to be? Like TUL-DAL 1:00PM - 7 None
567722294680641538,2015-02-17 08:28:37 -0800,Southwest,0,@SouthwestAir Hi-My flight (BNA to LGA) was Cancelled Flighted this morning--#1814. Looks like other flights out of BNA are taking off. Any chance?
567722937545814018,2015-02-17 08:31:10 -0800,Southwest,0,@SouthwestAir finally!
567728357555437568,2015-02-17 08:52:42 -0800,Delta,0,"@JetBlue no, I am fine to fly! Haha, they come at random, with the hemophilia, but what if i need extra assistance"
567729135733465088,2015-02-17 08:55:48 -0800,US Airways,0,@USAirways thank you for blowing my vacation. Couldn't get me anywhere today to make my reservation and also lost 2 bags of mine!
567730472076464129,2015-02-17 09:01:07 -0800,United,0,@united Gold Star for united- change my flight- miss all connections- but can't accommodate me until a MUCH Late Flightr arrival time-Not HAPPY!
567730952260943873,2015-02-17 09:03:01 -0800,United,0,@united actually we did not consider she might have made a mistake. She did not complain beyond that she indicated it on her reservation.
567731738924032000,2015-02-17 09:06:09 -0800,United,0,@united No but u cld explain how such a disorganized and inefficient company w surly and obviously unhappy employees stays in business.
567733847132229632,2015-02-17 09:14:31 -0800,Delta,0,"@JetBlue Ok great thanks! I had a great flight, FYI. I'm excited to fly again. I just was frustrated I was not able to check in."
567734499669454848,2015-02-17 09:17:07 -0800,US Airways,0,@USAirways hundreds of people in line and less than half the desks being manned at CLT. Help?
567734795849834497,2015-02-17 09:18:17 -0800,United,0,@united Step 1: Cancelled Flight flight. Step 2: Don't notify customer. Step 3: Charge them for food while they try to survive their wait. Brilliant.
567735239456194560,2015-02-17 09:20:03 -0800,Delta,0,"@JetBlue unfortunately no, but hoping I can catch one sometime in the near future!"
567735489688395776,2015-02-17 09:21:03 -0800,Southwest,0,@SouthwestAir Great job with the Passbook integration! It’ll really help streamline the commute to San Fran! 😊☕📲✈
567737554087059457,2015-02-17 09:29:15 -0800,Southwest,0,"@SouthwestAir I noticed the rates increased a few days ago, or the promotion ended. Any idea when another promotion will be coming?? Thanks!"
567737617031380992,2015-02-17 09:29:30 -0800,Southwest,0,"@SouthwestAir its all good. flight eventually took off, and landed safely. oh, and I got the free cup o wine. thx"
567740235061014528,2015-02-17 09:39:54 -0800,Southwest,0,@SouthwestAir @gruber Finally.
567741692854276096,2015-02-17 09:45:42 -0800,United,0,@united Brandi Zabsonre in Denver deserves a raise for bringing delight into a terrible travel situation. big ups http://t.co/TK3aOpdtSQ
567742148603170816,2015-02-17 09:47:31 -0800,Virgin America,0,@VirginAmerica morning. If I have a question regarding elevate points &amp; flights can I DM you?
567742937325260801,2015-02-17 09:50:39 -0800,Virgin America,0,@VirginAmerica Are there any sign up bonuses to enroll in Elevate?
567744571124482048,2015-02-17 09:57:08 -0800,United,0,"@united Is there a way to get  a copy of Feb's edition of Hemisphere
magazine with out flying?"
567744627143213056,2015-02-17 09:57:21 -0800,Southwest,0,@SouthwestAir Thanks a ton!
567744948934426625,2015-02-17 09:58:38 -0800,Southwest,0,@SouthwestAir Trying to add my dog on the flight but can't get through.
567747041976410112,2015-02-17 10:06:57 -0800,United,0,@united when is my plane coming?  Been delayed for almost 7 hours. No plane.
567747668512735232,2015-02-17 10:09:27 -0800,Delta,0,@JetBlue as much i have paid in fees. Plus hotel and food because of your changes i could had flown with a more reliable airline #no2jetblue
567748407070953472,2015-02-17 10:12:23 -0800,Southwest,0,@SouthwestAir or you could send me a DM.
567748973428219904,2015-02-17 10:14:38 -0800,United,0,@united 1591 had wi-fi broken on plane. Had same outage on 1618 on Friday. How can Southwest get it right on every plane but United can't?
567752478309875714,2015-02-17 10:28:33 -0800,Southwest,0,"@SouthwestAir the person I talked to couldn't do anything not normally available online other than the ""no charge"" part."
567753757702647810,2015-02-17 10:33:38 -0800,Virgin America,0,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings
567753872967528448,2015-02-17 10:34:06 -0800,US Airways,0,.@USAirways we r rebooked. got conflicting info abt baggage. Y no extra plane batteries on hand? Y no comped admirals club for 9 hr wait?
567754136255725568,2015-02-17 10:35:09 -0800,United,1,@united the refund request functionality on http://t.co/5IMDckODfx is broken.i get a time out error.
567755891714174976,2015-02-17 10:42:07 -0800,US Airways,0,@USAirways customer service at its finest
567758478371196928,2015-02-17 10:52:24 -0800,United,0,@United yall tried it with this little bitty plane flying out of boston!! I hate little planes!!!
567760474553348096,2015-02-17 11:00:20 -0800,US Airways,0,@USAirways Haha - that will indeed be a great day!
567763818257063937,2015-02-17 11:13:37 -0800,Delta,0,@JetBlue @KyleJudah It doesn't matter who you directed me to. It's the principle of the matter. When I gate checked the stroller it was
