airline,sentiment,count,percentage
American,Negative,112,55.172413793103445
American,Neutral,56,27.586206896551722
American,Positive,35,17.24137931034483
Delta,Negative,72,39.130434782608695
Delta,Neutral,60,32.608695652173914
Delta,Positive,52,28.26086956521739
Southwest,Negative,89,41.78403755868544
Southwest,Neutral,63,29.577464788732392
Southwest,Positive,61,28.638497652582164
US Airways,Negative,149,62.60504201680672
US Airways,Neutral,54,22.689075630252102
US Airways,Positive,35,14.705882352941178
United,Negative,180,56.60377358490566
United,Neutral,82,25.78616352201258
United,Positive,56,17.61006289308176
Virgin America,Negative,11,25.0
Virgin America,Neutral,14,31.818181818181817
Virgin America,Positive,19,43.18181818181818
