term,mean_tfidf
number,0.061829693841170055
flight,0.049647591513603796
thanks,0.025919144683251266
url,0.0232483029551833
get,0.020629014017424053
hour,0.019732202536982917
thank,0.017591638777208107
customer,0.017435824520544364
cancelled,0.017221855490056857
service,0.016035756448334236
plane,0.015571835389078392
help,0.014801193629310557
time,0.01380312950132306
one,0.01348013742714208
need,0.013441377688412285
still,0.012586270162683093
airline,0.012562304041119673
gate,0.012342344129523626
amp,0.01202600741684564
hold,0.011699178162522163
got,0.011545984993189064
back,0.011544192324947892
bag,0.010952458815208514
please,0.010937916093531376
ca,0.010933289807059302
call,0.010634389580014902
guy,0.010304465477884585
flightled,0.010121955270030738
would,0.009981109120916869
delayed,0.009934198924907744
